Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000022.jpg,9.1035,16,10,1024x1024,1048576
00000022_(2).jpg,14.9500,16,10,1600x1066,1705600
00000022_(3).jpg,7.4119,16,10,1024x646,661504
00000022_(4).jpg,2.4721,16,10,640x427,273280
00000022_(5).jpg,5.9461,16,10,1024x682,698368
00000022_(6).jpg,5.9075,16,10,1024x683,699392
00000022_(7).jpg,15.1782,16,10,1600x1067,1707200
00000023.jpg,5.6994,16,10,800x800,640000
00000023_(2).jpg,5.5321,16,10,800x800,640000
00000023_(3).jpg,6.1888,16,10,1024x683,699392
00000023_(4).jpg,6.2052,16,10,1024x678,694272
00000023_(5).jpg,12.4015,16,10,1024x740,757760
00000023_(6).jpg,8.7956,16,10,1599x615,983385
00000023_(7).jpg,5.3201,16,10,1000x604,604000
00000024.jpg,5.5865,16,10,800x800,640000
00000024_(2).jpg,15.1419,16,10,1600x1059,1694400
00000024_(3).jpg,5.6701,16,10,1024x617,631808
00000024_(4).jpg,13.7822,16,10,1599x946,1512654
00000024_(5).jpg,31798.3147,16,10,1023x685,700755
00000024_(6).jpg,18352.3445,16,10,1600x900,1440000
00000025.jpg,6.4157,16,10,800x800,640000
00000025_(2).jpg,16.5398,16,10,1600x1071,1713600
00000025_(3).jpg,6.3385,16,10,1024x683,699392
00000025_(4).jpg,6.3655,16,10,682x1023,697686
00000025_(5).jpg,5.5395,16,10,800x800,640000
00000025_(6).jpg,2.3667,16,10,413x640,264320
00000025_(7).jpg,2.5181,16,10,639x430,274770
00000026.jpg,5.4078,16,10,800x800,640000
00000026_(2).jpg,3.5985,16,10,640x640,409600
00000026_(3).jpg,19773.1651,16,10,813x813,660969
00000026_(4).jpg,2404.6689,16,10,533x800,426400
00000026_(5).jpg,10.2887,16,10,1024x1024,1048576
00000026_(6).jpg,5.4762,16,10,800x600,480000
00000026_(7).jpg,7.6648,16,10,1024x681,697344
00000027.jpg,16.9104,16,10,1600x1058,1692800
00000027_(2).jpg,10.2853,16,10,1024x1024,1048576
00000027_(3).jpg,6.7157,16,10,1024x683,699392
00000027_(4).jpg,12.8810,16,10,1600x793,1268800
00000027_(5).jpg,17.7857,16,10,1600x1066,1705600
00000027_(6).jpg,6.7431,16,10,1024x683,699392
00000028.jpg,9.8067,16,10,1024x1024,1048576
00000028_(2).jpg,6.0581,16,10,800x800,640000
00000028_(3).jpg,6.6765,16,10,1024x683,699392
00000028_(4).jpg,16.6359,16,10,1600x1071,1713600
00000028_(5).jpg,10.3102,16,10,1024x1024,1048576
00000028_(6).jpg,14.5682,16,10,1600x906,1449600
00000028_(7).jpg,1.4365,16,10,500x333,166500
00000029.jpg,6.1850,16,10,800x800,640000
00000029_(2).jpg,10.0510,16,10,1024x1024,1048576
00000029_(3).jpg,7.0619,16,10,1024x683,699392
00000029_(4).jpg,9.6116,16,10,1024x1024,1048576
